Measure,Unit,Year,Value
Marketing and promotion,"National currency, Millions",2022,8454.5578
Marketing and promotion,"National currency, Millions",2023,9666.3026
Marketing and promotion,"National currency, Millions",2024,10868.7487
Collective schemes for processing and marketing,"Euro, Millions",2013,1909.2024
Collective schemes for processing and marketing,"Euro, Millions",2014,1756.285
Collective schemes for processing and marketing,"Euro, Millions",2015,2402.2554
Collective schemes for processing and marketing,"Euro, Millions",2016,1664.9496
Collective schemes for processing and marketing,"Euro, Millions",2017,1467.9721
Collective schemes for processing and marketing,"Euro, Millions",2018,1671.5639
Collective schemes for processing and marketing,"Euro, Millions",2019,1819.2976
Collective schemes for processing and marketing,"Euro, Millions",2020,4495.4305
Collective schemes for processing and marketing,"Euro, Millions",2021,2528.009
Collective schemes for processing and marketing,"Euro, Millions",2022,2472.2965
Collective schemes for processing and marketing,"Euro, Millions",2023,2573.0398
Collective schemes for processing and marketing,"Euro, Millions",2024,2584.5697
Collective schemes for processing and marketing,"US dollar, Millions",2013,2535.6466
Collective schemes for processing and marketing,"US dollar, Millions",2014,2333.2266
Collective schemes for processing and marketing,"US dollar, Millions",2015,2665.3346
Collective schemes for processing and marketing,"US dollar, Millions",2016,1842.9388
Collective schemes for processing and marketing,"US dollar, Millions",2017,1658.3395
Collective schemes for processing and marketing,"US dollar, Millions",2018,1974.0402
Collective schemes for processing and marketing,"US dollar, Millions",2019,2036.6578
Collective schemes for processing and marketing,"US dollar, Millions",2020,5134.6655
Collective schemes for processing and marketing,"US dollar, Millions",2021,2989.9786
Collective schemes for processing and marketing,"US dollar, Millions",2022,2603.4477
Collective schemes for processing and marketing,"US dollar, Millions",2023,2782.1459
Collective schemes for processing and marketing,"US dollar, Millions",2024,2797.4864
Collective schemes for processing and marketing,"National currency, Millions",2013,2535.6466
Collective schemes for processing and marketing,"National currency, Millions",2014,2333.2266
Collective schemes for processing and marketing,"National currency, Millions",2015,2665.3346
Collective schemes for processing and marketing,"National currency, Millions",2016,1842.9388
Collective schemes for processing and marketing,"National currency, Millions",2017,1658.3395
Collective schemes for processing and marketing,"National currency, Millions",2018,1974.0402
Collective schemes for processing and marketing,"National currency, Millions",2019,2036.6578
Collective schemes for processing and marketing,"National currency, Millions",2020,5134.6655
Collective schemes for processing and marketing,"National currency, Millions",2021,2989.9786
Collective schemes for processing and marketing,"National currency, Millions",2022,2603.4477
Collective schemes for processing and marketing,"National currency, Millions",2023,2782.1459
Collective schemes for processing and marketing,"National currency, Millions",2024,2797.4864
Promotion of agricultural products,"Euro, Millions",2013,3012.6971
Promotion of agricultural products,"Euro, Millions",2014,2505.5978
Promotion of agricultural products,"Euro, Millions",2015,3087.6459
Promotion of agricultural products,"Euro, Millions",2016,2458.1564
Promotion of agricultural products,"Euro, Millions",2017,2799.486
Promotion of agricultural products,"Euro, Millions",2018,2509.7098
Promotion of agricultural products,"Euro, Millions",2019,2977.1402
Promotion of agricultural products,"Euro, Millions",2020,3315.2438
Promotion of agricultural products,"Euro, Millions",2021,3969.2153
Promotion of agricultural products,"Euro, Millions",2022,5556.3545
Promotion of agricultural products,"Euro, Millions",2023,6366.7435
Promotion of agricultural products,"Euro, Millions",2024,7456.9585
Promotion of agricultural products,"US dollar, Millions",2013,4001.218
Promotion of agricultural products,"US dollar, Millions",2014,3328.6895
Promotion of agricultural products,"US dollar, Millions",2015,3425.7845
Promotion of agricultural products,"US dollar, Millions",2016,2720.9422
Promotion of agricultural products,"US dollar, Millions",2017,3162.5249
Promotion of agricultural products,"US dollar, Millions",2018,2963.8519
Promotion of agricultural products,"US dollar, Millions",2019,3332.8335
Promotion of agricultural products,"US dollar, Millions",2020,3786.6603
Promotion of agricultural products,"US dollar, Millions",2021,4694.5518
Promotion of agricultural products,"US dollar, Millions",2022,5851.11
Promotion of agricultural products,"US dollar, Millions",2023,6884.1567
Promotion of agricultural products,"US dollar, Millions",2024,8071.2623
Promotion of agricultural products,"National currency, Millions",2013,4001.218
Promotion of agricultural products,"National currency, Millions",2014,3328.6895
Promotion of agricultural products,"National currency, Millions",2015,3425.7845
Promotion of agricultural products,"National currency, Millions",2016,2720.9422
Promotion of agricultural products,"National currency, Millions",2017,3162.5249
Promotion of agricultural products,"National currency, Millions",2018,2963.8519
Promotion of agricultural products,"National currency, Millions",2019,3332.8335
Promotion of agricultural products,"National currency, Millions",2020,3786.6603
Promotion of agricultural products,"National currency, Millions",2021,4694.5518
Promotion of agricultural products,"National currency, Millions",2022,5851.11
Promotion of agricultural products,"National currency, Millions",2023,6884.1567
Promotion of agricultural products,"National currency, Millions",2024,8071.2623
Cost of public stockholding,"Euro, Millions",2013,524.0957
Cost of public stockholding,"Euro, Millions",2014,315.7134
Cost of public stockholding,"Euro, Millions",2015,475.8259
Cost of public stockholding,"Euro, Millions",2016,426.8432
Cost of public stockholding,"Euro, Millions",2017,613.8676
Cost of public stockholding,"Euro, Millions",2018,480.7643
Cost of public stockholding,"Euro, Millions",2019,601.8801
Cost of public stockholding,"Euro, Millions",2020,468.3648
Cost of public stockholding,"Euro, Millions",2021,450.814
Cost of public stockholding,"Euro, Millions",2022,555.5451
Cost of public stockholding,"Euro, Millions",2023,511.718
Cost of public stockholding,"Euro, Millions",2024,708.8745
Cost of public stockholding,"US dollar, Millions",2013,696.0611
Cost of public stockholding,"US dollar, Millions",2014,419.4256
Cost of public stockholding,"US dollar, Millions",2015,527.9353
Cost of public stockholding,"US dollar, Millions",2016,472.4743
Cost of public stockholding,"US dollar, Millions",2017,693.4743
Cost of public stockholding,"US dollar, Millions",2018,567.7606
Cost of public stockholding,"US dollar, Millions",2019,673.7896
Cost of public stockholding,"US dollar, Millions",2020,534.9647
Cost of public stockholding,"US dollar, Millions",2021,533.1959
Cost of public stockholding,"US dollar, Millions",2022,585.0159
Cost of public stockholding,"US dollar, Millions",2023,553.3044
Cost of public stockholding,"US dollar, Millions",2024,767.2715
Cost of public stockholding,"National currency, Millions",2013,696.0611
Cost of public stockholding,"National currency, Millions",2014,419.4256
Cost of public stockholding,"National currency, Millions",2015,527.9353
Cost of public stockholding,"National currency, Millions",2016,472.4743
Cost of public stockholding,"National currency, Millions",2017,693.4743
Cost of public stockholding,"National currency, Millions",2018,567.7606
Cost of public stockholding,"National currency, Millions",2019,673.7896
Cost of public stockholding,"National currency, Millions",2020,534.9647
Cost of public stockholding,"National currency, Millions",2021,533.1959
Cost of public stockholding,"National currency, Millions",2022,585.0159
Cost of public stockholding,"National currency, Millions",2023,553.3044
Cost of public stockholding,"National currency, Millions",2024,767.2715
Miscellaneous,"Euro, Millions",2013,1129.7188
Miscellaneous,"Euro, Millions",2014,1154.7464
Miscellaneous,"Euro, Millions",2015,1401.797
Miscellaneous,"Euro, Millions",2016,1780.2226
Miscellaneous,"Euro, Millions",2017,1506.231
Miscellaneous,"Euro, Millions",2018,1462.9001
Miscellaneous,"Euro, Millions",2019,1696.8411
Miscellaneous,"Euro, Millions",2020,1725.6983
Miscellaneous,"Euro, Millions",2021,1882.8822
Miscellaneous,"Euro, Millions",2022,2174.0043
Miscellaneous,"Euro, Millions",2023,2284.8749
Miscellaneous,"Euro, Millions",2024,2348.5005
Miscellaneous,"US dollar, Millions",2013,1500.4001
Miscellaneous,"US dollar, Millions",2014,1534.0819
Miscellaneous,"US dollar, Millions",2015,1555.3126
Miscellaneous,"US dollar, Millions",2016,1970.5349
Miscellaneous,"US dollar, Millions",2017,1701.5598
Miscellaneous,"US dollar, Millions",2018,1727.6178
Miscellaneous,"US dollar, Millions",2019,1899.5709
Miscellaneous,"US dollar, Millions",2020,1971.0868
Miscellaneous,"US dollar, Millions",2021,2226.9611
Miscellaneous,"US dollar, Millions",2022,2289.3316
Miscellaneous,"US dollar, Millions",2023,2470.5624
Miscellaneous,"US dollar, Millions",2024,2541.9698
Miscellaneous,"National currency, Millions",2013,1500.4001
Miscellaneous,"National currency, Millions",2014,1534.0819
Miscellaneous,"National currency, Millions",2015,1555.3126
Miscellaneous,"National currency, Millions",2016,1970.5349
Miscellaneous,"National currency, Millions",2017,1701.5598
Miscellaneous,"National currency, Millions",2018,1727.6178
Miscellaneous,"National currency, Millions",2019,1899.5709
Miscellaneous,"National currency, Millions",2020,1971.0868
Miscellaneous,"National currency, Millions",2021,2226.9611
Miscellaneous,"National currency, Millions",2022,2289.3316
Miscellaneous,"National currency, Millions",2023,2470.5624
Miscellaneous,"National currency, Millions",2024,2541.9698
Consumer Support Estimate (CSE),"Euro, Millions",2013,-54909.0147
Consumer Support Estimate (CSE),"Euro, Millions",2014,-45610.3051
Consumer Support Estimate (CSE),"Euro, Millions",2015,-53595.645
Consumer Support Estimate (CSE),"Euro, Millions",2016,-61276.0517
Consumer Support Estimate (CSE),"Euro, Millions",2017,-61907.6345
Consumer Support Estimate (CSE),"Euro, Millions",2018,-60585.2514
Consumer Support Estimate (CSE),"Euro, Millions",2019,-62738.494
Consumer Support Estimate (CSE),"Euro, Millions",2020,-48219.6212
Consumer Support Estimate (CSE),"Euro, Millions",2021,-27807.117
Consumer Support Estimate (CSE),"Euro, Millions",2022,1362.1069
Consumer Support Estimate (CSE),"Euro, Millions",2023,-30038.7802
Consumer Support Estimate (CSE),"Euro, Millions",2024,-39074.8415
Consumer Support Estimate (CSE),"US dollar, Millions",2013,-72925.6649
Consumer Support Estimate (CSE),"US dollar, Millions",2014,-60593.342
Consumer Support Estimate (CSE),"US dollar, Millions",2015,-59465.0869
Consumer Support Estimate (CSE),"US dollar, Millions",2016,-67826.6852
Consumer Support Estimate (CSE),"US dollar, Millions",2017,-69935.8505
Consumer Support Estimate (CSE),"US dollar, Millions",2018,-71548.3977
Consumer Support Estimate (CSE),"US dollar, Millions",2019,-70234.1651
Consumer Support Estimate (CSE),"US dollar, Millions",2020,-55076.2887
Consumer Support Estimate (CSE),"US dollar, Millions",2021,-32888.6036
Consumer Support Estimate (CSE),"US dollar, Millions",2022,1434.3645
Consumer Support Estimate (CSE),"US dollar, Millions",2023,-32479.9751
Consumer Support Estimate (CSE),"US dollar, Millions",2024,-42293.8245
Consumer Support Estimate (CSE),"National currency, Millions",2013,-72925.6649
Consumer Support Estimate (CSE),"National currency, Millions",2014,-60593.342
Consumer Support Estimate (CSE),"National currency, Millions",2015,-59465.0869
Consumer Support Estimate (CSE),"National currency, Millions",2016,-67826.6852
Consumer Support Estimate (CSE),"National currency, Millions",2017,-69935.8505
Consumer Support Estimate (CSE),"National currency, Millions",2018,-71548.3977
Consumer Support Estimate (CSE),"National currency, Millions",2019,-70234.1651
Consumer Support Estimate (CSE),"National currency, Millions",2020,-55076.2887
Consumer Support Estimate (CSE),"National currency, Millions",2021,-32888.6036
Consumer Support Estimate (CSE),"National currency, Millions",2022,1434.3645
Consumer Support Estimate (CSE),"National currency, Millions",2023,-32479.9751
Consumer Support Estimate (CSE),"National currency, Millions",2024,-42293.8245
Transfers to producers from consumers,"Euro, Millions",2013,-79082.755
Transfers to producers from consumers,"Euro, Millions",2014,-67909.9222
Transfers to producers from consumers,"Euro, Millions",2015,-79635.8685
Transfers to producers from consumers,"Euro, Millions",2016,-83054.1943
Transfers to producers from consumers,"Euro, Millions",2017,-83258.6345
Transfers to producers from consumers,"Euro, Millions",2018,-77262.2611
Transfers to producers from consumers,"Euro, Millions",2019,-80039.2096
Transfers to producers from consumers,"Euro, Millions",2020,-73574.0566
Transfers to producers from consumers,"Euro, Millions",2021,-64305.0765
Transfers to producers from consumers,"Euro, Millions",2022,-57895.8297
Transfers to producers from consumers,"Euro, Millions",2023,-75511.9264
Transfers to producers from consumers,"Euro, Millions",2024,-81595.847
Transfers to producers from consumers,"US dollar, Millions",2013,-105031.2507
Transfers to producers from consumers,"US dollar, Millions",2014,-90218.4085
Transfers to producers from consumers,"US dollar, Millions",2015,-88357.0641
Transfers to producers from consumers,"US dollar, Millions",2016,-91932.9906
Transfers to producers from consumers,"US dollar, Millions",2017,-94055.6599
Transfers to producers from consumers,"US dollar, Millions",2018,-91243.1798
Transfers to producers from consumers,"US dollar, Millions",2019,-89601.8807
Transfers to producers from consumers,"US dollar, Millions",2020,-84036.0393
Transfers to producers from consumers,"US dollar, Millions",2021,-76056.2187
Transfers to producers from consumers,"US dollar, Millions",2022,-60967.1088
Transfers to producers from consumers,"US dollar, Millions",2023,-81648.638
Transfers to producers from consumers,"US dollar, Millions",2024,-88317.7077
Transfers to producers from consumers,"National currency, Millions",2013,-105031.2507
Transfers to producers from consumers,"National currency, Millions",2014,-90218.4085
Transfers to producers from consumers,"National currency, Millions",2015,-88357.0641
Transfers to producers from consumers,"National currency, Millions",2016,-91932.9906
Transfers to producers from consumers,"National currency, Millions",2017,-94055.6599
Transfers to producers from consumers,"National currency, Millions",2018,-91243.1798
Transfers to producers from consumers,"National currency, Millions",2019,-89601.8807
Transfers to producers from consumers,"National currency, Millions",2020,-84036.0393
Transfers to producers from consumers,"National currency, Millions",2021,-76056.2187
Transfers to producers from consumers,"National currency, Millions",2022,-60967.1088
Transfers to producers from consumers,"National currency, Millions",2023,-81648.638
Transfers to producers from consumers,"National currency, Millions",2024,-88317.7077
Other transfers from consumers,"Euro, Millions",2013,-14346.1187
Other transfers from consumers,"Euro, Millions",2014,-14520.446
Other transfers from consumers,"Euro, Millions",2015,-17973.6975
Other transfers from consumers,"Euro, Millions",2016,-22296.6647
Other transfers from consumers,"Euro, Millions",2017,-21845.6971
Other transfers from consumers,"Euro, Millions",2018,-24012.5982
Other transfers from consumers,"Euro, Millions",2019,-24713.3915
Other transfers from consumers,"Euro, Millions",2020,-22873.1312
Other transfers from consumers,"Euro, Millions",2021,-20429.0073
Other transfers from consumers,"Euro, Millions",2022,-18546.3737
Other transfers from consumers,"Euro, Millions",2023,-21481.3715
Other transfers from consumers,"Euro, Millions",2024,-21007.3214
Other transfers from consumers,"US dollar, Millions",2013,-19053.3421
Other transfers from consumers,"US dollar, Millions",2014,-19290.429
Other transfers from consumers,"US dollar, Millions",2015,-19942.0584
Other transfers from consumers,"US dollar, Millions",2016,-24680.2595
Other transfers from consumers,"US dollar, Millions",2017,-24678.6591
Other transfers from consumers,"US dollar, Millions",2018,-28357.775
Other transfers from consumers,"US dollar, Millions",2019,-27666.0198
Other transfers from consumers,"US dollar, Millions",2020,-26125.6132
Other transfers from consumers,"US dollar, Millions",2021,-24162.2144
Other transfers from consumers,"US dollar, Millions",2022,-19530.2285
Other transfers from consumers,"US dollar, Millions",2023,-23227.122
Other transfers from consumers,"US dollar, Millions",2024,-22737.9032
Other transfers from consumers,"National currency, Millions",2013,-19053.3421
Other transfers from consumers,"National currency, Millions",2014,-19290.429
Other transfers from consumers,"National currency, Millions",2015,-19942.0584
Other transfers from consumers,"National currency, Millions",2016,-24680.2595
Other transfers from consumers,"National currency, Millions",2017,-24678.6591
Other transfers from consumers,"National currency, Millions",2018,-28357.775
Other transfers from consumers,"National currency, Millions",2019,-27666.0198
Other transfers from consumers,"National currency, Millions",2020,-26125.6132
Other transfers from consumers,"National currency, Millions",2021,-24162.2144
Other transfers from consumers,"National currency, Millions",2022,-19530.2285
Other transfers from consumers,"National currency, Millions",2023,-23227.122
Other transfers from consumers,"National currency, Millions",2024,-22737.9032
Transfers to consumers from taxpayers,"Euro, Millions",2013,37665.9074
Transfers to consumers from taxpayers,"Euro, Millions",2014,36198.4765
Transfers to consumers from taxpayers,"Euro, Millions",2015,43125.4504
Transfers to consumers from taxpayers,"Euro, Millions",2016,43037.478
Transfers to consumers from taxpayers,"Euro, Millions",2017,41721.6612
Transfers to consumers from taxpayers,"Euro, Millions",2018,39724.1849
Transfers to consumers from taxpayers,"Euro, Millions",2019,40898.6048
Transfers to consumers from taxpayers,"Euro, Millions",2020,47400.8053
Transfers to consumers from taxpayers,"Euro, Millions",2021,56309.7245
Transfers to consumers from taxpayers,"Euro, Millions",2022,77536.3796
Transfers to consumers from taxpayers,"Euro, Millions",2023,66218.0323
Transfers to consumers from taxpayers,"Euro, Millions",2024,62389.2331
Transfers to consumers from taxpayers,"US dollar, Millions",2013,50024.7793
Transfers to consumers from taxpayers,"US dollar, Millions",2014,48089.7171
Transfers to consumers from taxpayers,"US dollar, Millions",2015,47848.2656
Transfers to consumers from taxpayers,"US dollar, Millions",2016,47638.3413
Transfers to consumers from taxpayers,"US dollar, Millions",2017,47132.1491
Transfers to consumers from taxpayers,"US dollar, Millions",2018,46912.4368
Transfers to consumers from taxpayers,"US dollar, Millions",2019,45784.9587
Transfers to consumers from taxpayers,"US dollar, Millions",2020,54141.04
Transfers to consumers from taxpayers,"US dollar, Millions",2021,66599.792
Transfers to consumers from taxpayers,"US dollar, Millions",2022,81649.5577
Transfers to consumers from taxpayers,"US dollar, Millions",2023,71599.4467
Transfers to consumers from taxpayers,"US dollar, Millions",2024,67528.8542
Transfers to consumers from taxpayers,"National currency, Millions",2013,50024.7793
Transfers to consumers from taxpayers,"National currency, Millions",2014,48089.7171
Transfers to consumers from taxpayers,"National currency, Millions",2015,47848.2656
Transfers to consumers from taxpayers,"National currency, Millions",2016,47638.3413
Transfers to consumers from taxpayers,"National currency, Millions",2017,47132.1491
Transfers to consumers from taxpayers,"National currency, Millions",2018,46912.4368
Transfers to consumers from taxpayers,"National currency, Millions",2019,45784.9587
Transfers to consumers from taxpayers,"National currency, Millions",2020,54141.04
Transfers to consumers from taxpayers,"National currency, Millions",2021,66599.792
Transfers to consumers from taxpayers,"National currency, Millions",2022,81649.5577
Transfers to consumers from taxpayers,"National currency, Millions",2023,71599.4467
Transfers to consumers from taxpayers,"National currency, Millions",2024,67528.8542
Excess feed cost,"Euro, Millions",2013,853.9516
Excess feed cost,"Euro, Millions",2014,621.5865
Excess feed cost,"Euro, Millions",2015,888.4705
Excess feed cost,"Euro, Millions",2016,1037.3294
Excess feed cost,"Euro, Millions",2017,1475.0359
Excess feed cost,"Euro, Millions",2018,965.423
Excess feed cost,"Euro, Millions",2019,1115.5023
Excess feed cost,"Euro, Millions",2020,826.7612
Excess feed cost,"Euro, Millions",2021,617.2423
Excess feed cost,"Euro, Millions",2022,267.9308
Excess feed cost,"Euro, Millions",2023,736.4854
Excess feed cost,"Euro, Millions",2024,1139.0938
Excess feed cost,"US dollar, Millions",2013,1134.1487
Excess feed cost,"US dollar, Millions",2014,825.7784
Excess feed cost,"US dollar, Millions",2015,985.77
Excess feed cost,"US dollar, Millions",2016,1148.2237
Excess feed cost,"US dollar, Millions",2017,1666.3193
Excess feed cost,"US dollar, Millions",2018,1140.1202
Excess feed cost,"US dollar, Millions",2019,1248.7768
Excess feed cost,"US dollar, Millions",2020,944.3239
Excess feed cost,"US dollar, Millions",2021,730.0375
Excess feed cost,"US dollar, Millions",2022,282.1441
Excess feed cost,"US dollar, Millions",2023,796.3381
Excess feed cost,"US dollar, Millions",2024,1232.9322
Excess feed cost,"National currency, Millions",2013,1134.1487
Excess feed cost,"National currency, Millions",2014,825.7784
Excess feed cost,"National currency, Millions",2015,985.77
Excess feed cost,"National currency, Millions",2016,1148.2237
Excess feed cost,"National currency, Millions",2017,1666.3193
Excess feed cost,"National currency, Millions",2018,1140.1202
Excess feed cost,"National currency, Millions",2019,1248.7768
Excess feed cost,"National currency, Millions",2020,944.3239
Excess feed cost,"National currency, Millions",2021,730.0375
Excess feed cost,"National currency, Millions",2022,282.1441
Excess feed cost,"National currency, Millions",2023,796.3381
Excess feed cost,"National currency, Millions",2024,1232.9322
Total Support Estimate (TSE),"Euro, Millions",2013,263972.2762
Total Support Estimate (TSE),"Euro, Millions",2014,245127.9463
Total Support Estimate (TSE),"Euro, Millions",2015,273977.0145
Total Support Estimate (TSE),"Euro, Millions",2016,276619.9595
Total Support Estimate (TSE),"Euro, Millions",2017,272174.3695
Total Support Estimate (TSE),"Euro, Millions",2018,274485.0804
Total Support Estimate (TSE),"Euro, Millions",2019,286180.1613
Total Support Estimate (TSE),"Euro, Millions",2020,294008.1565
Total Support Estimate (TSE),"Euro, Millions",2021,300853.3133
Total Support Estimate (TSE),"Euro, Millions",2022,318747.477
Total Support Estimate (TSE),"Euro, Millions",2023,322876.5936
Total Support Estimate (TSE),"Euro, Millions",2024,331081.9272
Total Support Estimate (TSE),"US dollar, Millions",2013,350586.399
Total Support Estimate (TSE),"US dollar, Millions",2014,325652.7541
Total Support Estimate (TSE),"US dollar, Millions",2015,303981.1721
Total Support Estimate (TSE),"US dollar, Millions",2016,306191.6421
Total Support Estimate (TSE),"US dollar, Millions",2017,307470.0912
Total Support Estimate (TSE),"US dollar, Millions",2018,324154.2661
Total Support Estimate (TSE),"US dollar, Millions",2019,320371.488
Total Support Estimate (TSE),"US dollar, Millions",2020,335815.1247
Total Support Estimate (TSE),"US dollar, Millions",2021,355831.3996
Total Support Estimate (TSE),"US dollar, Millions",2022,335656.5093
Total Support Estimate (TSE),"US dollar, Millions",2023,349116.1645
Total Support Estimate (TSE),"US dollar, Millions",2024,358356.4355
Total Support Estimate (TSE),"National currency, Millions",2013,350586.399
Total Support Estimate (TSE),"National currency, Millions",2014,325652.7541
Total Support Estimate (TSE),"National currency, Millions",2015,303981.1721
Total Support Estimate (TSE),"National currency, Millions",2016,306191.6421
Total Support Estimate (TSE),"National currency, Millions",2017,307470.0912
Total Support Estimate (TSE),"National currency, Millions",2018,324154.2661
Total Support Estimate (TSE),"National currency, Millions",2019,320371.488
Total Support Estimate (TSE),"National currency, Millions",2020,335815.1247
Total Support Estimate (TSE),"National currency, Millions",2021,355831.3996
Total Support Estimate (TSE),"National currency, Millions",2022,335656.5093
Total Support Estimate (TSE),"National currency, Millions",2023,349116.1645
Total Support Estimate (TSE),"National currency, Millions",2024,358356.4355
Transfers from consumers,"Euro, Millions",2013,93428.8737
Transfers from consumers,"Euro, Millions",2014,82430.3682
Transfers from consumers,"Euro, Millions",2015,97609.566
Transfers from consumers,"Euro, Millions",2016,105350.8591
Transfers from consumers,"Euro, Millions",2017,105104.3316
Transfers from consumers,"Euro, Millions",2018,101274.8593
Transfers from consumers,"Euro, Millions",2019,104752.6011
Transfers from consumers,"Euro, Millions",2020,96447.1878
Transfers from consumers,"Euro, Millions",2021,84734.0839
Transfers from consumers,"Euro, Millions",2022,76442.2034
Transfers from consumers,"Euro, Millions",2023,96993.2979
Transfers from consumers,"Euro, Millions",2024,102603.1684
Transfers from consumers,"US dollar, Millions",2013,124084.5928
Transfers from consumers,"US dollar, Millions",2014,109508.8375
Transfers from consumers,"US dollar, Millions",2015,108299.1226
Transfers from consumers,"US dollar, Millions",2016,116613.2502
Transfers from consumers,"US dollar, Millions",2017,118734.319
Transfers from consumers,"US dollar, Millions",2018,119600.9548
Transfers from consumers,"US dollar, Millions",2019,117267.9005
Transfers from consumers,"US dollar, Millions",2020,110161.6525
Transfers from consumers,"US dollar, Millions",2021,100218.4331
Transfers from consumers,"US dollar, Millions",2022,80497.3373
Transfers from consumers,"US dollar, Millions",2023,104875.76
Transfers from consumers,"US dollar, Millions",2024,111055.6109
Transfers from consumers,"National currency, Millions",2013,124084.5928
Transfers from consumers,"National currency, Millions",2014,109508.8375
Transfers from consumers,"National currency, Millions",2015,108299.1226
Transfers from consumers,"National currency, Millions",2016,116613.2502
Transfers from consumers,"National currency, Millions",2017,118734.319
Transfers from consumers,"National currency, Millions",2018,119600.9548
Transfers from consumers,"National currency, Millions",2019,117267.9005
Transfers from consumers,"National currency, Millions",2020,110161.6525
Transfers from consumers,"National currency, Millions",2021,100218.4331
Transfers from consumers,"National currency, Millions",2022,80497.3373
Transfers from consumers,"National currency, Millions",2023,104875.76
Transfers from consumers,"National currency, Millions",2024,111055.6109
Transfers from taxpayers,"Euro, Millions",2013,184889.5212
Transfers from taxpayers,"Euro, Millions",2014,177218.0241
Transfers from taxpayers,"Euro, Millions",2015,194341.146
Transfers from taxpayers,"Euro, Millions",2016,193565.7652
Transfers from taxpayers,"Euro, Millions",2017,188915.7351
Transfers from taxpayers,"Euro, Millions",2018,197222.8193
Transfers from taxpayers,"Euro, Millions",2019,206140.9517
Transfers from taxpayers,"Euro, Millions",2020,220434.0999
Transfers from taxpayers,"Euro, Millions",2021,236548.2368
Transfers from taxpayers,"Euro, Millions",2022,260851.6473
Transfers from taxpayers,"Euro, Millions",2023,247364.6672
Transfers from taxpayers,"Euro, Millions",2024,249486.0802
Transfers from taxpayers,"US dollar, Millions",2013,245555.1483
Transfers from taxpayers,"US dollar, Millions",2014,235434.3456
Transfers from taxpayers,"US dollar, Millions",2015,215624.108
Transfers from taxpayers,"US dollar, Millions",2016,214258.6515
Transfers from taxpayers,"US dollar, Millions",2017,213414.4313
Transfers from taxpayers,"US dollar, Millions",2018,232911.0864
Transfers from taxpayers,"US dollar, Millions",2019,230769.6072
Transfers from taxpayers,"US dollar, Millions",2020,251779.0854
Transfers from taxpayers,"US dollar, Millions",2021,279775.1809
Transfers from taxpayers,"US dollar, Millions",2022,274689.4006
Transfers from taxpayers,"US dollar, Millions",2023,267467.5265
Transfers from taxpayers,"US dollar, Millions",2024,270038.7278
Transfers from taxpayers,"National currency, Millions",2013,245555.1483
Transfers from taxpayers,"National currency, Millions",2014,235434.3456
Transfers from taxpayers,"National currency, Millions",2015,215624.108
Transfers from taxpayers,"National currency, Millions",2016,214258.6515
Transfers from taxpayers,"National currency, Millions",2017,213414.4313
Transfers from taxpayers,"National currency, Millions",2018,232911.0864
Transfers from taxpayers,"National currency, Millions",2019,230769.6072
Transfers from taxpayers,"National currency, Millions",2020,251779.0854
Transfers from taxpayers,"National currency, Millions",2021,279775.1809
Transfers from taxpayers,"National currency, Millions",2022,274689.4006
Transfers from taxpayers,"National currency, Millions",2023,267467.5265
Transfers from taxpayers,"National currency, Millions",2024,270038.7278
Budget revenues,"Euro, Millions",2013,-14346.1187
Budget revenues,"Euro, Millions",2014,-14520.446
Budget revenues,"Euro, Millions",2015,-17973.6975
Budget revenues,"Euro, Millions",2016,-22296.6647
Budget revenues,"Euro, Millions",2017,-21845.6971
Budget revenues,"Euro, Millions",2018,-24012.5982
Budget revenues,"Euro, Millions",2019,-24713.3915
Budget revenues,"Euro, Millions",2020,-22873.1312
Budget revenues,"Euro, Millions",2021,-20429.0073
Budget revenues,"Euro, Millions",2022,-18546.3737
Budget revenues,"Euro, Millions",2023,-21481.3715
Budget revenues,"Euro, Millions",2024,-21007.3214
Budget revenues,"US dollar, Millions",2013,-19053.3421
Budget revenues,"US dollar, Millions",2014,-19290.429
Budget revenues,"US dollar, Millions",2015,-19942.0584
Budget revenues,"US dollar, Millions",2016,-24680.2595
Budget revenues,"US dollar, Millions",2017,-24678.6591
Budget revenues,"US dollar, Millions",2018,-28357.775
Budget revenues,"US dollar, Millions",2019,-27666.0198
Budget revenues,"US dollar, Millions",2020,-26125.6132
Budget revenues,"US dollar, Millions",2021,-24162.2144
Budget revenues,"US dollar, Millions",2022,-19530.2285
Budget revenues,"US dollar, Millions",2023,-23227.122
Budget revenues,"US dollar, Millions",2024,-22737.9032
Budget revenues,"National currency, Millions",2013,-19053.3421
Budget revenues,"National currency, Millions",2014,-19290.429
Budget revenues,"National currency, Millions",2015,-19942.0584
Budget revenues,"National currency, Millions",2016,-24680.2595
Budget revenues,"National currency, Millions",2017,-24678.6591
Budget revenues,"National currency, Millions",2018,-28357.775
Budget revenues,"National currency, Millions",2019,-27666.0198
Budget revenues,"National currency, Millions",2020,-26125.6132
Budget revenues,"National currency, Millions",2021,-24162.2144
Budget revenues,"National currency, Millions",2022,-19530.2285
Budget revenues,"National currency, Millions",2023,-23227.122
Budget revenues,"National currency, Millions",2024,-22737.9032
Total Budgetary Support Estimate (TBSE),"Euro, Millions",2013,183527.877
Total Budgetary Support Estimate (TBSE),"Euro, Millions",2014,174590.2498
Total Budgetary Support Estimate (TBSE),"Euro, Millions",2015,191293.1565
Total Budgetary Support Estimate (TBSE),"Euro, Millions",2016,191029.6182
